"term","count"
"..","1"
"...................","1"
"....................","2"
"............................","1"
".............................","1"
"...............................","2"
"....................................","1"
".....................................","1"
".........................................","1"
"..............................................","1"
"...............................................","1"
"................................................","1"
".................................................","1"
"..................................................","3"
"...................................................","1"
".....................................................","1"
"0.35","1"
"0.46","1"
"0.47","1"
"0.50","1"
"0.55","1"
"0.62","1"
"0.63","1"
"0.64","1"
"0.70","1"
"0.72","2"
"1","2"
"1.23","1"
"1.26","1"
"100","1"
"103","1"
"105","5"
"11","4"
"113","1"
"12","2"
"125","1"
"132","1"
"15","3"
"16","1"
"17","1"
"170","1"
"1758","2"
"1851","3"
"1855","4"
"1858","1"
"1859","2"
"1861","2"
"1862","3"
"1863","2"
"1865","1"
"1892","8"
"1893","3"
"1894","4"
"1895","3"
"190","1"
"1905","1"
"1907","1"
"1910","1"
"1913","1"
"1915","1"
"1922","5"
"1926","1"
"1928","1"
"1932","1"
"1937","1"
"1954","2"
"1957","1"
"1966","5"
"1975","3"
"1987","26"
"1995","1"
"1996","2"
"1997","2"
"1999","2"
"2","8"
"2,2","1"
"2001","7"
"2003","7"
"21","1"
"22","1"
"228","1"
"23","1"
"24","1"
"25","1"
"251","1"
"260","2"
"263","2"
"27","1"
"279","2"
"281","2"
"287","2"
"29","2"
"293","1"
"3","3"
"3,2","2"
"30","1"
"31","2"
"324","1"
"33","1"
"34","2"
"35","2"
"352","1"
"359","1"
"36","2"
"37","1"
"4","1"
"43","1"
"437","1"
"452","2"
"453","2"
"46","1"
"468","1"
"47","2"
"5","3"
"5,3","2"
"50","1"
"53","1"
"54","1"
"57","1"
"58","1"
"580","2"
"6","1"
"61","1"
"62","1"
"65","1"
"66","3"
"67","1"
"68","1"
"69","1"
"70","1"
"72","1"
"73","1"
"74","1"
"753","1"
"77","1"
"78","1"
"79","1"
"8","1"
"82","3"
"85","1"
"86","3"
"870","1"
"874","1"
"88","2"
"9","2"
"90","3"
"92","2"
"94","1"
"98","1"
"99","1"
"A","6"
"a","89"
"about","1"
"above","3"
"abovementioned","2"
"absent","2"
"abundant","2"
"actually","2"
"acute","1"
"added","1"
"addition","1"
"additional","1"
"adiastolon","3"
"adjoins","1"
"adjudges","2"
"adoneum","1"
"aequum","1"
"affinities","2"
"African","5"
"Afrotropical","5"
"after","2"
"Agosti","1"
"Alate","2"
"albeit","4"
"all","9"
"All","3"
"Allomerus","1"
"allometric","1"
"Allowing","1"
"almost","5"
"along","2"
"already","1"
"also","15"
"Also","1"
"always","8"
"amblyops","2"
"Amer","7"
"American","1"
"among","3"
"an","3"
"analysis","1"
"anatomical","1"
"and","116"
"angle","8"
"angusticlava","1"
"Anillomyrma","1"
"Ann","8"
"ant","5"
"antenna","2"
"antennal","8"
"Antennal","1"
"antennomeres","2"
"anteriad","5"
"anterior","2"
"anteromedian","6"
"Antichthonidris","5"
"antiguense","1"
"antiguensis","1"
"ants","3"
"any","2"
"apart","1"
"apical","1"
"apparently","2"
"appear","4"
"appearance","6"
"appears","1"
"appendages","1"
"apuleii","1"
"Arabia","1"
"arc","2"
"Arch","1"
"are","15"
"area","1"
"arising","1"
"Ark","1"
"armed","1"
"as","25"
"As","1"
"aside","2"
"assigned","2"
"associated","2"
"at","15"
"atomaria","2"
"atomarium","1"
"Atta","4"
"attenuate","2"
"attenuated","1"
"aureorugosum","3"
"Australia","1"
"Australian","3"
"autapomorphies","1"
